Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,Model 4,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5
200000000081,Aspartame-Intense sweetener,Global,ward_euclidean,5450.0,138940.31519935044,1,5,0,2,200000000422,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000000081,Aspartame-Intense sweetener,Global,ward_euclidean,5450.0,138940.31519935044,1,5,0,2,200000001014,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Aspartame,Aspartame
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000000082,1.0,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000000081,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000005955,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000007192,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000007216,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000007237,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000000024,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000000085,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000001902,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000001923,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000005477,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000005677,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000007338,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000009719,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000000501,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000003153,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000003417,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000005865,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
200000000082,Sweetener-Acesulfame K-Powder,Global,ward_euclidean,1075.0,21915.739530526545,9,2,9,7,200000005869,,,Ingredient,Sugars and Sweeteners,Sweeteners,High Intensity Sweeteners,Acesulfame,K
