Specification Number,Specification description,Region,Type,Volume,Spend,Model 1,Model 2,Model 3,variable,value,Cluster name,Level 0,Level 1,Level 2,Level 3
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000002395,0.9999999999999993,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000006627,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000006843,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000006844,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000006846,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000007251,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000007732,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000007977,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000008049,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000001439,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000006808,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000000289,0.8622331864424885,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000000616,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000000638,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000000723,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
200000002395,CITRIC ACID MONOHYDRATED FINE GRANULAR,MEU,ward_euclidean,24500.0,72278.45181001083,2,6,2,200000005407,,,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR,CITRIC ACID MONOHYDRATED FINE GRANULAR
